Index,CPU Usage,Temperature C
1,67.4,53.7
2,32.6,52.1
3,39.3,52.1
4,32.4,51.5
5,34.7,52.1
6,41.1,52.1
7,32.8,52.1
8,33.7,51.5
9,32.5,52.1
10,32.8,52.1
11,36.5,52.1
12,45.5,53.7
13,46.8,54.2
14,40.5,52.6
15,38.9,52.6
16,31.1,52.6
17,31.3,52.6
18,33.2,52.6
19,32.2,52.6
20,33,52.6
21,32.2,52.6
22,32.2,52.6
23,32.5,52.1
24,32.3,52.6
25,44.5,53.7
26,34.1,52.6
27,32.6,52.6
28,39.3,53.7
29,33.1,53.2
30,30.1,53.2
31,30.8,53.2
32,34,52.6
33,55.3,54.8
34,33.5,53.7
35,32.9,53.2
36,31.2,52.6
37,32,52.6
38,32.3,53.7
39,32.8,53.2
40,32.2,53.2
41,33.2,53.7
42,41,53.7
43,36.6,53.7
44,34.3,54.2
45,32.8,53.2
46,34.3,53.2
47,33.4,53.7
48,32.7,52.6
49,33.2,52.6
50,31.5,53.2
51,32.7,52.6
52,33.5,53.7
53,33.2,52.6
54,36.5,53.7
55,33.1,53.7
56,33,53.2
57,26,53.2
58,28.4,52.6
59,29.6,52.6
60,28.2,52.6
61,28.4,52.1
62,28.7,52.1
63,28.2,52.1
64,28.1,52.6
65,29.2,52.1
66,28.4,52.6
67,28.9,52.6
68,29.4,51.5
69,32,52.1
70,29.3,52.6
71,43.9,53.7
72,32.7,53.2
73,32.8,53.2
74,36.2,53.2
75,33.5,52.6
76,33.8,53.2
77,31.4,53.7
78,31.7,53.7
79,32.8,53.2
80,32.9,53.7
81,33.1,53.7
82,33.1,53.2
83,39.2,54.2
84,33.5,53.7
85,35.6,53.7
86,33,53.7
87,32.1,52.6
88,32.6,53.7
89,31.7,52.6
90,32.1,53.7
91,30.8,53.2
92,32.8,53.2
93,33.8,52.6
94,32.7,53.2
95,32,53.2
96,33.9,53.7
97,36.1,53.7
98,32.2,53.7
99,32.8,53.2
100,33.1,53.7
101,32.5,52.6
102,32.2,52.6
103,32.1,53.2
104,29.8,53.2
105,33.5,53.7
106,33.2,53.7
107,32.5,53.2
108,34.2,53.7
109,32.6,53.2
110,45.4,55.8
111,33.2,54.2
112,33.7,53.7
113,34.1,54.2
114,32.1,53.7
115,32.9,53.7
116,31.5,53.7
117,32.7,54.2
118,32.7,53.2
119,33.5,53.7
120,32.9,53.2
121,32.6,53.7
122,32.5,54.2
123,31.2,53.2
124,35.1,53.7
125,34.5,53.7
126,44.8,55.3
127,43.8,54.2
128,35.5,54.2
129,34.2,53.7
130,35.3,54.2
131,32.7,53.7
132,33.4,54.2
133,35.4,53.7
134,33.4,54.2
135,32.9,53.7
136,33.6,53.7
137,32.9,54.2
138,40.1,54.8
139,37.7,54.8
140,41.9,54.8
141,33.8,53.7
142,34.6,53.7
143,36.2,53.7
144,33.6,53.7
145,31.8,53.7
146,36.1,53.7
147,35.3,54.2
148,34,54.2
149,34.6,53.7
150,34.6,53.7
151,34.5,54.2
152,41.6,54.8
153,35.2,53.7
154,35.2,53.7
155,33.8,54.2
156,33.8,53.7
157,34.1,53.7
158,33.4,53.7
159,33.8,53.7
160,34.9,54.8
161,37.4,53.7
162,33.7,53.7
163,34.4,53.7
164,33.7,53.7
165,31.9,53.7
166,41.1,53.7
167,34.1,53.7
168,32.7,53.7
169,33,53.7
170,33.4,53.7
171,32.1,53.7
172,37.4,54.2
173,30.5,53.7
174,28.8,53.7
175,33,53.7
176,29.5,52.6
177,28.8,52.1
178,31,53.7
179,31.4,52.6
180,29.8,52.6
181,28.9,52.1
182,30.4,52.6
183,30.3,52.1
184,28.7,52.1
185,29.8,52.6
186,30.1,52.1
187,28.2,52.6
188,31.1,52.6
189,29.3,51.5
190,29.2,52.6
191,27.3,52.1
192,34.8,52.1
193,31.9,52.6
194,28.3,52.1
195,30.1,52.1
196,29.1,52.1
197,28.5,52.1
198,26.9,51.5
199,29.9,51.5
200,29.6,51.5
201,29.6,51.5
202,29.1,51.5
203,29.8,52.6
204,28.7,52.1
205,29.3,52.6
206,32.6,52.6
207,29.3,52.6
208,41.3,53.7
209,36.5,52.6
210,30.3,52.6
211,29.6,52.1
212,29.4,52.6
213,29.8,52.6
214,32,52.1
215,29.2,52.1
216,30.8,52.1
217,29.9,52.6
218,30.5,52.6
219,28.3,52.6
220,43.1,55.3
221,35.9,53.7
222,43.4,55.8
223,37.7,54.2
224,32.7,53.7
225,31.4,53.2
226,32.3,53.7
227,35.8,52.1
228,35.3,51.5
229,33.9,52.6
230,32.8,53.7
231,35.7,53.7
232,32.9,53.2
233,31.7,53.7
234,41.2,54.8
235,36.6,53.7
236,33.6,53.7
237,34,53.7
238,35.6,53.7
239,32.7,53.7
240,45.8,54.8
241,37.9,54.2
242,35,53.7
243,34.6,54.2
244,34.9,53.7
245,34.3,53.7
246,33.5,53.7
247,34,54.2
248,41.2,54.8
249,34.9,54.2
250,34.2,53.7
251,34.3,53.7
252,33.4,53.7
253,32.6,53.7
254,38.8,54.8
255,34.7,53.7
256,36.8,54.2
257,33.6,53.7
258,33.4,54.2
259,33.6,53.7
260,32.2,53.7
261,36.4,54.8
262,41.6,55.3
263,34.7,54.2
264,32.8,54.2
265,33,53.7
266,32.3,54.2
267,32,53.7
268,35,53.7
269,34.3,53.7
270,34.3,53.7
271,35.5,54.2
272,33.9,54.8
273,34.3,54.2
274,32.6,54.2
275,34.3,53.7
276,42.1,56.4
277,39.5,54.8
278,35.2,54.8
279,33.9,54.8
280,32.6,54.8
281,32,55.3
282,34.9,54.8
283,34.3,54.2
284,35.5,54.2
285,34.6,54.2
286,35.7,53.7
287,32.8,54.2
288,32.6,53.7
289,35,53.7
290,41,54.8
291,34.4,54.2
292,34.5,54.2
293,33.2,54.2
294,39.1,54.8
295,35.1,54.2
296,33.7,53.7
297,34.5,54.2
298,34,54.2
299,33.1,54.2
300,30.1,53.7
301,38.9,53.2
302,39.3,54.8
303,40.7,55.8
304,33.2,54.8
305,32.8,54.8
306,32.3,54.2
307,32.1,54.8
308,34.1,54.8
309,35.6,54.2
310,35.7,54.8
311,34,54.8
312,34,54.2
313,32.9,54.2
314,33.2,54.8
315,33.3,54.2
316,34.5,54.8
317,45.7,56.4
318,31.5,54.8
319,39.5,55.3
320,35.4,55.3
321,47.2,56.9
322,63.9,58
323,38.3,55.8
324,36.9,55.3
325,36.5,54.8
326,35.7,54.8
327,36,55.8
328,33.5,55.8
329,36,54.8
330,37.2,54.8
331,43,56.9
332,41.4,56.4
333,37.9,55.3
334,55.8,58
335,69.4,59.1
336,34.9,56.9
337,37.4,55.8
338,37.7,55.8
339,49.4,56.9
340,82.4,60.1
341,92.3,60.1
342,43.1,57.5
343,35.4,56.9
344,36.2,56.9
345,37.6,56.9
346,41.9,56.4
347,37.7,56.4
348,33.8,55.8
349,35.9,56.4
350,36.2,55.8
351,36.1,55.8
352,36.4,55.8
353,39.7,55.8
354,35.1,55.8
355,33,55.8
356,33.5,55.8
357,35.9,55.8
358,36.1,54.8
359,37,54.8
360,43.7,56.4
361,34.6,55.3
362,33.7,55.3
363,34.3,55.8
364,39.2,55.8
365,36.6,54.8
366,36,54.8
367,35.3,55.8
368,35.8,56.4
369,33,54.8
370,33,55.3
371,34.8,55.8
372,35.3,55.3
373,34.7,55.3
374,45.3,56.9
375,31.3,55.8
376,39.1,56.4
377,29.4,55.8
378,35.1,55.3
379,31.6,55.3
380,32.1,55.3
381,30,55.8
382,30.3,54.8
383,31.4,55.8
384,30.2,55.3
385,32.6,54.8
386,31.1,54.8
387,30,54.8
388,38.8,55.8
389,29.9,54.8
390,30.2,55.3
391,32.1,55.3
392,31.3,54.8
393,34.6,54.8
394,32.2,54.8
395,30.1,55.3
396,29.9,55.3
397,28.5,54.2
398,30,54.8
399,34.6,55.3
400,33,55.3
401,30,55.3
402,37.6,55.8
403,30.6,55.3
404,29.5,54.2
405,32.7,54.8
406,31.6,53.7
407,30.7,54.2
408,30.6,53.7
409,29.6,54.2
410,30,54.2
